vocals/minh-su-5_0369.wav|chúng tôi tâm niệm điều đó.
vocals/minh-su-3_0060.wav|dù phải chờ đến mười một năm.
vocals/hon-uoc-tu-be_part_11_0511.wav|do không tham gia tham dự.
vocals/minh-su-7_0639.wav|chĩa lên bầu trời đỏ au làm ông ta nghi ngờ.
vocals/hon-uoc-tu-be_part_11_0533.wav|nhưng thỉ thoảng vẫn gọi nhầm.
vocals/hon-uoc-tu-be_part_10_1291.wav|chưa một lần gọi tên em.
vocals/tao-thao-shark_0816.wav|nắm được nội tình anh em họ viên đang tranh giành quyền thừa kế.
vocals/hon-uoc-tu-be_part_11_0291.wav|em và lâm nói chuyện đi.
vocals/minh-su-7_0412.wav|ông hãy nói điều gì về thằng giặc này.
vocals/minh-su-1_1296.wav|sau gần một năm bôn ba xứ lạ đỗ chiêu và nguyễn hoàng đã gặp lại nhau tại làng ái tử.
vocals/hon-uoc-tu-be_part_4_0893.wav|tôi thì chắc chắn không tha thứ tôi chỉ lo anh đứng giữa sẽ tiến thoái lưỡng nan.
vocals/hon-uoc-tu-be_part_6_0504.wav|nhưng nhìn vào là biết là chị em.
vocals/hon-uoc-tu-be_part_4_0579.wav|không hề có tôn trọng kính nể nhà chồng một chút nào cả ông coi mà dạy lại cháu của ông đi.
vocals/minh-su-2_0561.wav|chưa dám xuống đất ngay.
vocals/hon-uoc-tu-be_part_3_0135.wav|ở trong căn nhà này còn có ông nội.
vocals/tao-thao-shark_1295.wav|quan vũ sau đó bao vây phản thành lại cử quân vây đánh tương dương.
vocals/minh-su-6_0181.wav|rời khỏi quán nước.
vocals/minh-su-3_0560.wav|ông học ngay được cách mà thủ lĩnh vừa dùng với ông là im lặng một lúc.
vocals/minh-su-8_1066.wav|họ đã hiểu lòng nhau tin cậy nhau để cùng nhau hợp tác xây dựng xóm làng.
vocals/hon-uoc-tu-be_part_0_0688.wav|mà anh cô quang làm cô quá thất vọng và chán chường.
vocals/hon-uoc-tu-be_part_4_1180.wav|lúc mà cô sâu sảy ý thai dượng hai thành nói trong nhà tắm có xà phòng của hai đứa nhỏ nó phá.
vocals/minh-su-5_0979.wav|nơi neo đỗ các con thuyền có tiếng la hét của ai đó.
vocals/hon-uoc-tu-be_part_3_0794.wav|chị châu liếc mắt nó rồi bắt đầu quá trình chép phật một trăm lần gia quy nhọ hoàng cái này người ta nói là gậy ông đập.
vocals/minh-su-5_0395.wav|đã gắn bó với anh.
vocals/minh-su-4_0200.wav|cũng là câu trả lời của thái phó làm cho đỗ chiêu nghĩ tới một chuyện khác.
vocals/hon-uoc-tu-be_part_8_0661.wav|khi nào em tức lên.
vocals/hon-uoc-tu-be_part_4_0110.wav|tôi thích đông con.
vocals/minh-su-2_0134.wav|ngay sáng hôm sau.
vocals/hon-uoc-tu-be_part_5_0630.wav|tên thành cứng họng hai tay bấu mạnh ở hai bên thành ghế hắn có mơ cũng không nghĩ mợ sao lại âm thầm gắn camera.
vocals/hon-uoc-tu-be_part_5_1190.wav|lên thẳng vào nhà tắm rồi.
vocals/tao-thao-shark_0267.wav|ông vẫn ủng hộ triều đình tại trường an của vua hiền đế.
vocals/minh-su-3_1126.wav|được nói bằng một giọng nhẹ nhàng và một nụ cười mịn.
vocals/hon-uoc-tu-be_part_1_0364.wav|anh ta sai cô cũng sai cả hai đều sai trong chuyện này.
vocals/hon-uoc-tu-be_part_3_0095.wav|cô hai cũng tức là bà hoàng thu hồng.
vocals/minh-su-2_0334.wav|đoan quận công nhìn tất cả những hành động khép nép đó của anh.
vocals/hon-uoc-tu-be_part_9_0770.wav|anh trai thì có gia đình riêng và cũng không lo được gì cho tôi cả.
vocals/hon-uoc-tu-be_part_2_0063.wav|cũng đẹp đấy nhưng mà chị không quen đâu thi.
vocals/hon-uoc-tu-be_part_7_0027.wav|nhìn mợ bằng ánh mắt dò xét.
vocals/minh-su-1_0208.wav|mấy chú có quay lại không.
vocals/hon-uoc-tu-be_part_0_0364.wav|dao mà gật đầu á con kêu ba má con tới liền.
vocals/minh-su-6_0036.wav|vận công xem chủ tướng có gì khác.
vocals/hon-uoc-tu-be_part_8_0965.wav|thấy mợ sao đang ngồi một mình tựa đầu vào cột nhà.
vocals/hon-uoc-tu-be_part_11_0947.wav|mày tấu hài cho ai coi thế hả thi mắc ói quá đi à.
vocals/hon-uoc-tu-be_part_0_0905.wav|người ta hay ví anh con nụ cười tỏa nắng.
vocals/hon-uoc-tu-be_part_9_0418.wav|em nói hồi đó nhã hy từng đi xét nghiệm.
vocals/minh-su-7_1110.wav|không có việc gì.
vocals/hon-uoc-tu-be_part_4_0841.wav|kết quả gì sai không nói tôi nghe.
vocals/hon-uoc-tu-be_part_5_0256.wav|hòng chối tội cho bản thân phải không.
vocals/hon-uoc-tu-be_part_3_1151.wav|sinh ra không chỉ làm khổ người khác mà bản thân nó cũng khổ.
vocals/minh-su-3_1005.wav|chịu đói qua buổi trưa vì không thấy ai đến hỏi han.
vocals/hon-uoc-tu-be_part_6_0394.wav|lại còn nói trả lương cho cậu hưng.
vocals/minh-su-3_0261.wav|rồi lại nhìn sang ba người cộng sự thân cận đang ngồi cạnh ông như muốn tìm câu trả lời.
vocals/minh-su-9_1198.wav|công tử thứ sáu.
vocals/hon-uoc-tu-be_part_7_1163.wav|phải dạy dỗ đàng hoàng.
vocals/hon-uoc-tu-be_part_0_0806.wav|sau này cô có chồng nhất định gặp được nhà chồng tốt như cô đã tốt với mẹ con chị.
vocals/hon-uoc-tu-be_part_3_1011.wav|lần này cả cậu hưng lẫn mợ sao đều hồi hộp.
vocals/hon-uoc-tu-be_part_11_0101.wav|vượt quá dung tích sẽ bị trào ra.
vocals/minh-su-9_0915.wav|ông hãy giảng cho tôi nghe chứ.
vocals/hon-uoc-tu-be_part_5_0432.wav|tôi không thiên vị ai hết.
vocals/hon-uoc-tu-be_part_0_0433.wav|cô biết là anh trai của mình bất tài.
vocals/minh-su-3_0029.wav|không phải từ cái tương lai chưa tới vì anh là người ít mơ mộng.
vocals/hon-uoc-tu-be_part_3_0178.wav|mày có dám thề là mày không cố tình không.
vocals/hon-uoc-tu-be_part_6_1297.wav|muốn biết có phải trúng độc hay không.
vocals/minh-su-7_0667.wav|gần một canh giờ.
